experiment,algorithm,msd_mean,msd_std,emse_mean,emse_std,cost_mean,cost_std,robust_rate_mean,robust_rate_std,wall_clock_sec_mean,wall_clock_sec_std
base_gaussian_dlms,noncoop_lms,0.00014308795571252693,4.890933621350341e-06,0.00020097135361060262,6.910199463023452e-06,1.0,0.0,0.0,0.0,0.873562159796711,0.28709923380338404
base_gaussian_dlms,global_lms,4.293362783496069e-06,7.938882610875797e-07,5.577238390741151e-06,9.668561945345239e-07,1.0,0.0,0.0,0.0,14.067278524849097,4.505492248231339
base_gaussian_dlms,cta_lms_CI,2.4981288190832205e-05,1.610014462922715e-06,0.00010308254238796253,4.849401959951702e-06,1.0,0.0,0.0,0.0,0.8822082601254806,0.2741275184220191
base_gaussian_dlms,atc_lms_CI,9.898983367385245e-06,1.5203650508434258e-06,1.4494237092233565e-05,2.214610915864763e-06,1.0,0.0,0.0,0.0,0.833311939786654,0.27804461976972017
base_gaussian_dlms,atc_lms_CneqI,8.490926357979e-06,1.4650652062273184e-06,1.2466746119279277e-05,2.015993645547132e-06,1.0,0.0,0.0,0.0,4.203141620097449,1.276187599094387
impulsive_asymmetric_dlms,atc_lms_CI,0.004957467207633839,0.0009357449790427639,0.007355355844728735,0.0014497056784887872,1.0,0.0,0.0,0.0,0.7710007603454869,0.017079496586337898
impulsive_asymmetric_dlms,cta_lms_CI,0.012773816641004918,0.0013797574113368915,0.05458123156351313,0.01021036644426556,1.0,0.0,0.0,0.0,0.7453489044099115,0.016850040064704412
impulsive_asymmetric_dlms,uniform_dmcc_atc,2.216361364167954e-05,3.714514347695708e-06,3.253549554545525e-05,6.380856793300488e-06,10.0,0.0,1.0,0.0,0.811645479418803,0.017955249520537894
impulsive_asymmetric_dlms,gated_dmcc_atc,2.217919077114174e-05,3.7077646308738755e-06,3.256472794695431e-05,6.3735758853115674e-06,1.4607400000000001,0.018969571201767982,0.05119333333333333,0.002107730133529782,0.7836444652173669,0.016555746019411333
impulsive_asymmetric_dlms,gated_dmcc_cta,5.679143766365367e-05,4.404570215656383e-06,0.00022671122819518122,1.7157025393450585e-05,1.4607400000000001,0.018969571201767982,0.05119333333333333,0.002107730133529782,0.7792956548044458,0.01712801599564392
